"","ABCB6","ACTN1","ATP5F1A","CKS1B","COX18","DDX27","GASK1B","GMNN","KNOP1","MAMDC2","ME2","MOB3A","NFE2L3","PLPP2","RELL2","SLC24A3","SRPX","ST7L","UBD","type"
"TCGA.BR.4280.01",5.72656935646472,8.10545188359992,8.99518554917049,10.0587646903386,5.97034216245532,8.3042668820446,6.39802083796466,9.76945047451898,6.73243947426144,3.09211741505803,9.54188343478554,5.65186457890623,8.56006350423784,8.92754599049914,5.21387479886452,5.16031485901749,5.41369654635061,5.41079101589018,10.8601237886249,"Cancer"
"TCGA.BR.4292.01",5.89692764427772,8.34738551504451,9.01913407702004,10.4427504218377,5.8752244083305,7.66652273434444,6.56293594288399,10.1748534499848,6.79666378896775,3.34280654485462,9.65039876404341,5.59950893755793,8.30924537014032,9.1193885491564,5.41248105140468,5.17172747502326,5.71643874820743,4.84411087041051,10.8976667614676,"Cancer"
"TCGA.BR.6452.01",5.61598855652449,8.31615702883666,8.86943684556329,9.85845949907258,6.0120000937399,8.01818930952571,6.85086911192302,10.1135261872053,6.72995123294012,3.56118628966162,9.28348086175584,5.92447089332663,7.67425253966131,8.76166432833708,5.69966284556338,6.37773357232499,6.05189896370997,5.16749130356585,10.6659371254937,"Cancer"
"TCGA.BR.6453.01",5.99556822875725,8.08327793602259,8.84681541176584,9.64587618478662,5.55222799013794,8.85780981492177,7.4628559510136,9.16295926896036,6.85802176188677,5.18539948218551,8.64593900425543,6.43377142953073,6.72223748514328,8.65723579319412,5.26114401313667,7.46647097377831,10.3009393087982,5.64906277288334,10.2613260424177,"Cancer"
"TCGA.BR.6454.01",6.29503000151633,8.06922637992824,8.48300674318523,10.0844901564955,5.66009169193448,9.54523759219465,6.98487961719378,9.96397662200084,6.72165982091216,3.80397144246634,8.21724662390844,5.96171116095216,8.5057658894473,8.9766096106784,5.52406380738638,7.36817218082541,5.49665917092669,4.96303663379024,12.3408662562851,"Cancer"
"TCGA.BR.6455.01",6.65661062344164,8.2963820740088,8.92434473889316,10.5381097841172,5.97358565791909,9.01903772412754,6.9289890898641,9.49294362902274,6.74830828259476,4.29748806915714,9.47360859610787,5.82837447870664,7.67940906348175,9.05566045629621,5.19455548978057,6.15265180500189,6.29969429782169,5.11721514368341,11.412393383165,"Cancer"
"TCGA.BR.6456.01",6.31277305119363,8.8510674207045,8.26578678947979,10.1726904113648,5.46609623864726,8.94840551763563,7.82171452574649,9.12305777435819,6.52883935895338,5.83650213676365,8.4521201349374,6.05302854516055,9.64105956525906,9.160636217209,6.10921371352995,8.04972138117006,7.99239437412212,5.15426497806102,9.49727557283532,"Cancer"
"TCGA.BR.6457.01",6.04195611204122,9.37848590574294,8.53023446541285,9.23639285155782,5.46303151008942,8.55581216374808,8.38513825341036,8.36650893235982,6.60162031157857,7.7803712587301,8.12798718776026,6.3027699168709,7.4821234740846,8.66242277273206,5.42654524194325,8.21535064022893,9.82194817581881,5.43503727389521,11.468366510665,"Cancer"
"TCGA.BR.6458.01",5.97527520181782,8.59508818369641,8.71840835753573,10.1184515599069,5.54658327827653,9.21602875793104,7.5681310493061,9.49746576226903,6.94160745588698,3.81217348646867,8.65189807453862,5.87139743224691,8.58938792903176,8.36799126701913,5.61831116736456,6.68199797743459,7.38148763751176,5.51009999787257,9.95992985306532,"Cancer"
"TCGA.BR.6563.01",5.56163594314601,8.46852707290972,8.65323507144375,9.03765916363143,5.78743895355529,8.30097978593253,8.53121230062575,8.17236545129902,6.54390719606475,5.90961179657331,8.72293060653127,6.13949932266366,7.17013892224563,8.71569522348172,5.23457329540718,8.57433555544154,10.4127138786583,5.77668129509813,10.7955742775273,"Cancer"
"TCGA.BR.6564.01",5.88673123477706,9.70239697365034,8.53426610489254,9.24579046795123,5.46032694145279,8.38040062476448,8.03924182892961,8.43771100806144,6.550559437638,8.46939268549138,8.23842151824356,6.31666899496456,6.17124415238179,8.31526958593458,5.17972824554949,8.22279652416748,8.89711581607165,5.45482273041587,12.016775509103,"Cancer"
"TCGA.BR.6565.01",5.79988015143352,8.70854911038165,8.74607985161079,10.3917845600279,5.53847430796451,9.40777885185686,7.5643882753692,10.09100017131,7.79847992066719,5.4337291361408,9.4071129140928,5.86091881799776,8.26021051215148,7.95114578689883,5.63453436152542,6.72335559241297,6.53674237710267,5.05382031026813,12.4180385415603,"Cancer"
"TCGA.BR.6566.01",5.69222908554166,8.26560023196504,8.86340702890253,10.5719184179867,5.78589935435019,8.17898913419192,7.10190905642223,9.71625713487865,7.04440076066258,3.19958856313253,9.22561119841123,5.95342479979455,8.15569909201758,8.94364038441816,5.33816634737572,7.36800810493725,7.11489689309521,4.81013092209915,12.4063847807278,"Cancer"
"TCGA.BR.6705.01",5.97784809323708,9.21716922665122,8.57268932411715,10.315765409146,5.50209870249379,8.43567787027791,8.46484399841143,8.47327573093141,6.93064670326112,5.89334579219194,8.80226056289401,6.25044542553654,6.76918704073303,7.66224551444832,5.39202238614286,8.08266827349962,10.9638974496543,5.18571883757916,9.15395602683708,"Cancer"
"TCGA.BR.6706.01",5.5781292760259,8.75904459194949,8.64501628296848,9.67928001985383,5.76694471957041,8.91559677673681,7.57497624949559,8.91323829141159,6.85711905588816,6.25736367584183,9.02581931346535,6.18369192254017,8.40546657519628,8.62197753280831,5.30114672698941,8.02118269854998,7.4888437988286,5.18181668369368,12.599564865805,"Cancer"
"TCGA.BR.6707.01",6.08431690748568,7.85785901158265,8.83461477421958,10.7297215839787,5.95492195831581,8.94651388405933,6.7245167171684,9.84444998120487,7.45406433694111,3.03148115124355,9.34664005574167,5.88780708426693,7.53467928326574,8.21563950360138,5.09317249668733,5.65503534609502,5.51713076609392,5.1138394524372,13.1963740671263,"Cancer"
"TCGA.BR.6709.01",5.62947759254928,9.24933113992632,8.25746499011803,9.86311174891541,5.47728604531615,8.24476502164888,7.17940415394839,10.3293304856352,6.67757117549857,5.09416606851048,8.2324564736366,6.15219911048783,6.34996771686448,6.63572806638892,5.32449141008407,5.33840740381414,7.7103931048257,5.00584434483949,11.4096278511203,"Cancer"
"TCGA.BR.6801.01",5.91977449581957,9.2897723882761,8.67793677070192,9.54104720174132,5.77013483580179,9.06515413132219,6.88093570606764,8.7435173349003,6.71675223265945,5.66255011973882,8.54908687087361,5.92148830798566,9.20203425275093,9.31391857718924,5.8720678729483,6.8261783280601,6.61750254856266,5.1155746040308,10.514111741962,"Cancer"
"TCGA.BR.6802.01",5.28253527765589,8.53040486183216,8.71147929615476,10.065605154929,5.58157823707875,7.87861722920154,6.61451128063141,9.44221979519496,6.59631442144817,3.38239154953316,9.03681714307045,6.0289681353906,8.22672337839159,9.19461525843906,5.48353665721278,5.97329128403666,5.85417384554915,5.05551946027565,12.3811430566794,"Cancer"
"TCGA.BR.6803.01",5.7804965094167,9.48916836348139,8.67610623570926,8.64464235499009,5.41912266114689,8.43793522263866,8.09150150101099,9.08915155721308,6.87618158725134,7.76947667227368,8.64154312749991,6.26185308916316,6.33737924628087,8.49454916723223,5.33207190261183,7.71226027438327,10.1220699175561,5.48213034663793,9.96115128581681,"Cancer"
"TCGA.BR.6852.01",6.03243658522928,8.62887610847691,8.89100172651696,10.5652521787662,5.75722154719415,8.65245369249917,6.97506056934359,9.93325275272208,6.5858847315693,3.35788021173787,9.19171199222355,6.16010417505718,9.23559302695028,8.79700953659454,5.68301286411442,6.43944619682588,6.60167991534602,5.07223715622267,13.1660679290777,"Cancer"
"TCGA.BR.7196.01",5.36620242411359,8.85464262412724,8.44367678270619,9.04432732317447,5.58760176042159,8.61354363658998,7.86058691010315,8.89967725108834,6.55075441762351,6.96541757367119,8.47552210594776,6.02183064394685,7.39861644768627,7.91706110759907,5.27412735075281,8.42227215064719,8.66135450333734,5.45830044430957,11.6180304524786,"Cancer"
"TCGA.BR.7197.01",5.83627178475628,8.99755269454932,8.49013607750843,11.2896953827112,6.13432489915867,9.31630441751785,7.17392984363232,9.99218090967934,6.81142371545097,4.79064079834873,8.43821195969571,5.5194906528524,7.65150147122521,8.06744603203029,5.5485686119942,7.21083160023014,6.54841877587748,5.21283076275316,9.76701531277444,"Cancer"
"TCGA.BR.7703.01",5.86105107089067,8.16629386199673,8.87312741880814,9.59533671771661,6.12096369249414,8.18853433278596,6.07666169257931,9.99303454695582,6.81892313462911,3.25451200532647,9.33581075264808,5.86591162408114,8.3855845035164,9.54876629348522,5.58120266098496,5.82469649009277,6.0170497769502,4.97706384300566,9.6788173476646,"Cancer"
"TCGA.BR.7704.01",6.0279686539464,8.5682660470786,8.52877535379271,9.61827453383394,5.9750250197261,9.1391058650416,6.5096877612717,9.81074919804601,6.71846347339235,3.50004662170943,8.49777746188593,6.1277824388252,9.10005736325001,9.34545912100542,5.73023778149786,5.54467922198328,5.94177986918223,5.30121816309382,13.2748051327031,"Cancer"
"TCGA.BR.7707.01",6.01689661042521,8.91149542918698,8.87549023982092,10.556443855079,6.14505427680541,8.13527770764464,6.50545063992686,10.2690474426603,6.69169163549243,2.92513308225119,9.32103329681791,5.7225347373943,8.13768884098734,9.30322878693832,4.92306112711727,5.70298972897127,6.05999446817562,4.66822198752978,12.3130408660732,"Cancer"
"TCGA.BR.7715.01",6.3335606295255,8.76578133595257,8.63032488482803,10.4567560724846,6.11164344756993,9.0801563886004,7.82405783848607,9.74916330976675,6.82355014303077,4.58602766459769,9.11014801445728,5.95132236033881,7.68649998496322,9.69964697536501,5.70219238770556,7.18437648402219,6.88478175511971,5.00641644295949,9.95961730109631,"Cancer"
"TCGA.BR.7716.01",5.83727898909997,8.41079542855451,8.5044111859341,9.46841450381795,5.63305254658621,9.7993285360772,8.67839943058344,9.30534226238576,6.77545292323425,4.24990396746453,9.21976879254287,6.03635136362411,7.88472298556708,8.30728214511078,5.64164985310578,7.75189988897947,6.47828936153699,5.0487834291005,12.1405730066612,"Cancer"
"TCGA.BR.7717.01",6.65008690690854,8.82578318893607,8.74050283224892,10.3069713269458,5.37604497777505,9.29618280983553,7.32272904478875,9.66646481590942,7.0013906844793,4.91542005904617,9.27627879838491,5.82526738562145,7.16048318523978,9.16546921389322,5.69156051810996,6.42335464752052,7.6276245356998,4.93156582541201,9.11966945209995,"Cancer"
"TCGA.BR.7722.01",5.38124805195848,8.25474721600621,8.48174502417503,9.39444109869921,5.74627411286605,9.08976334091883,6.63868889261606,9.30603185203188,7.06095749033445,4.87385189136038,7.29331639617686,6.01214919327261,6.94434073110922,9.30839855333572,5.24937310245138,7.35523940992563,6.23526586912751,5.32426910220619,11.8814380635571,"Cancer"
"TCGA.BR.7723.01",5.71017527428547,8.22326203994615,8.37940648857698,10.8051207409869,5.35057762828742,9.10156461294897,6.87138841752837,10.2612008901892,6.99258633404511,3.68650871711162,7.64619618185123,5.60072656543276,8.3361737854606,7.29063387387594,5.39982443326741,5.3646140253786,6.656340453512,4.77374255263098,10.0719930670523,"Cancer"
"TCGA.BR.7851.01",5.85122361465708,8.56563957656021,8.80790260173077,9.99650593260568,6.15030932485486,7.7523945573517,7.07519080344701,9.65601067508124,6.40191316777754,4.32348922633667,9.56312824482629,5.99273502643675,7.34329132069398,8.36772777312675,5.17577557997933,6.35743520469748,6.81846792244035,5.16643388922302,8.72991491024049,"Cancer"
"TCGA.BR.7901.01",5.88751418179194,8.92012324448486,8.40233791370778,10.8503120388358,5.78907102329069,8.90967495171577,8.04157107422048,9.691874736119,6.64959591412432,5.41335858144307,8.44534122927626,5.86849583567677,8.56748306942871,8.7655053197852,5.43686524558961,7.01626715182354,7.6864991309638,4.83994495302164,11.4088398086097,"Cancer"
"TCGA.BR.7957.01",5.64237228791838,9.18374494511793,8.6456319102696,9.20625098010217,5.66341681736105,8.63580986969477,8.8221671315575,9.0771547976452,6.59053249651216,7.67441550899466,8.88778644913152,5.90109740377083,7.0425768857505,7.62151024516121,5.12764914461435,8.50651570065189,9.41722056395289,5.56060959180839,9.64891606443323,"Cancer"
"TCGA.BR.7958.01",5.47400214558067,8.37022106775223,8.5125743275259,10.4390162533106,5.77310022375823,8.55945857128003,7.20035945620948,9.22062288464236,6.61481802365702,4.18659730498505,8.81602999580981,6.10416689939761,8.4259353514573,8.74441410958331,5.08238176131214,6.51922154061932,5.70482713631632,4.99126269848482,13.2201335408119,"Cancer"
