"Fold","Model","Dataset","Metric","Value"
"Fold_5","glmnet","organoid","Accuracy_upper",0.931892259562643
"Fold_5","glmnet","organoid","BalancedAccuracy",0.6
"Fold_5","glmnet","organoid","Kappa",0.260869565217391
"Fold_5","glmnet","organoid","Sensitivity",1
"Fold_5","glmnet","organoid","Specificity",0.2
"Fold_5","glmnet","organoid","AUC",0.85
"Fold_5","glmnet","organoid","AUC_CI_Lower",0.63784196304048
"Fold_5","glmnet","organoid","AUC_CI_Upper",1
"Fold_5","glmnet","organoid","Brier",0.338098805708513
"Fold_5","rf","organoid","Accuracy",0.764705882352941
"Fold_5","rf","organoid","Accuracy_lower",0.50100672679542
"Fold_5","rf","organoid","Accuracy_upper",0.931892259562643
"Fold_5","rf","organoid","BalancedAccuracy",0.6
"Fold_5","rf","organoid","Kappa",0.260869565217391
"Fold_5","rf","organoid","Sensitivity",1
"Fold_5","rf","organoid","Specificity",0.2
"Fold_5","rf","organoid","AUC",0.466666666666667
"Fold_5","rf","organoid","AUC_CI_Lower",0.126548607704391
"Fold_5","rf","organoid","AUC_CI_Upper",0.806784725628943
"Fold_5","rf","organoid","Brier",0.449863529411765
