"","ABCB6","ACTN1","ATP5F1A","CKS1B","COX18","DDX27","GASK1B","GMNN","KNOP1","MAMDC2","ME2","MOB3A","NFE2L3","PLPP2","RELL2","SLC24A3","SRPX","ST7L","UBD"
"TCGA.CG.5730.11",5.58223230776239,7.78140929476377,8.98348408114326,9.07314450081511,5.67657709064864,8.10948032921186,6.51224553813176,9.41295430001878,5.89509806411781,8.34725052773778,9.37500478449597,6.03646747325272,5.44494692080977,8.73473296786426,4.95090731365368,6.38626309651359,9.54312590615737,5.07357310232824,8.07112751938585
"TCGA.CG.5733.11",5.87863122032961,7.84534461430054,8.88592674720297,9.04414177888887,5.89812683524525,8.02168981960865,7.07599260686165,9.18970909909896,6.41321438200256,8.80986334844538,9.18764473421226,6.28216196468706,5.87641989789266,8.71838717861024,5.11678832175941,6.78825215818818,9.3165648990159,4.87283761305441,10.0734515215826
"TCGA.CG.5734.11",5.94139516220558,7.50137965441905,8.95137988216989,8.84470738111251,5.53006934252389,8.54823854425362,6.71399019250832,9.0521446917997,6.21822983898534,8.61048451322201,9.53766993182007,6.03703941407919,5.81584542571387,8.99287305588119,5.02085549499249,6.1919031609869,9.76859822956725,5.1639197255166,8.97475308613894
"TCGA.FP.7735.11",5.76261414118459,10.2187335639584,8.92328298817138,7.71917681059256,5.60128580620556,8.20284600010199,7.62790651587137,7.06358803649367,5.61840591331985,11.1405834337688,8.9266975449692,6.36576879724324,4.35513907037835,4.9061313307309,4.91653325852734,7.29912325824195,10.434975062719,5.45769144543877,6.15542929288585
"TCGA.FP.7829.11",5.70108913168997,9.86029900232566,8.86758893661295,6.95742246001766,5.540372438463,7.79639925297333,7.51602572272027,7.61640601291003,5.75676735006816,11.296677273563,8.8933197991821,6.08860553219103,4.17315733444708,4.94373688212463,5.14321771475752,6.69893928886768,10.7591659173127,5.29926827191518,5.27737395067264
"TCGA.HU.8238.11",6.1942434052679,7.48951128756151,9.28050504922483,8.37792186171585,5.86958289505661,8.33275707510374,6.36957623849828,8.87897000959336,5.90647875354564,7.38364472920782,9.76909296242328,5.82979625431249,5.03301324446288,8.81672512217923,5.6817946140472,5.42094637263133,7.70653003268627,4.81421856646616,9.00895748659005
"TCGA.HU.A4G3.11",5.54712012123826,9.95910027310239,8.75736546167262,8.03741162629372,5.83124454332604,7.86271527656264,7.81940658866651,6.84781446559691,5.57327655484292,11.0765260422151,9.00218460953915,6.33808951568542,4.25767911620208,4.92529478262289,4.87865676153022,6.18696293433528,10.7981840613399,5.4552106809052,5.86819833780517
"TCGA.HU.A4GC.11",5.56677127544924,9.8725521558518,8.84926586769993,8.60023952411346,5.73589868010197,8.04198014590951,8.22763925817721,7.19055742125617,5.90180165281335,11.2205838337936,9.05740480166961,6.4051742811315,4.49293674735251,5.0064671621802,5.03134559340258,6.52116049824461,10.783240914642,5.41889717466465,6.05042422176532
"TCGA.HU.A4GH.11",5.62868257538032,9.82377639266813,8.75222213626421,8.56500155793885,5.75252358782836,8.04851703561328,8.1823958044749,6.36958320867733,5.68057381767681,11.1745104090343,8.95872469040883,6.39520277242246,4.53879651354624,4.96749565096451,5.06417102848239,6.6615493978659,11.1947495212771,5.53975919005704,6.1296502719574
"TCGA.HU.A4GN.11",5.68261107475696,9.75232959544451,8.75086051317272,8.43758918171445,5.67271236070272,8.00330650413598,7.46620812683094,7.25771093277797,5.70989285954452,10.7435834067821,8.77575341745958,6.36496836684866,4.54871563693026,6.75295848249076,5.05622069223433,5.90498311406784,9.82008218787945,5.10179950472575,7.36875879630866
"TCGA.HU.A4GP.11",5.56709593617629,9.97563057542982,8.77698801488276,8.04967914393415,5.68534570845272,7.9919653905746,7.82555814826612,7.36256968136031,5.75242171682014,10.7935507448995,9.0208385075405,6.41546578726865,4.52075538729432,5.10053470412228,4.90711443936452,6.76608410501084,10.9304447463705,5.45836862100221,5.8306268444066
"TCGA.HU.A4GY.11",5.71465620151974,9.92615519816567,8.77927037851149,8.55621592338757,5.89930348852693,8.01040366484742,7.9547641047094,7.17502216113782,6.01776412902722,10.955650058757,8.98177208941705,6.36327697069169,4.44859069825204,5.07455701360604,4.9331167200029,6.80404562760201,11.2704152662879,5.4039120388228,6.29018696601248
"TCGA.HU.A4HB.11",5.57471794548586,10.0500778822767,8.76206205060498,8.22767848957742,5.66465753565322,7.90281807635122,7.82466889263779,7.0437693848607,5.5310924316111,10.7596843289632,8.96792369440676,6.33479017500484,4.58984342891881,6.53056106526213,4.7926082384686,6.05680952431932,10.4702600659611,5.38875116717225,5.76100704245447
"TCGA.IN.7806.11",6.02080093364595,8.27801360567656,8.86159415550847,8.71176018822241,5.43916321800505,8.0544827263578,6.06223312820901,8.88799782393379,6.0967772468139,8.91952748311511,7.7092600609909,6.25497965460464,4.70687518255438,6.93532117777653,5.22156741658963,8.75795147846069,8.7648689777233,5.20411275826623,4.68447002739302
"TCGA.IN.8462.11",6.03181440193118,8.30970846702528,8.90459166701677,9.26462658747785,5.82856072981843,7.98210915247984,6.07007788930729,8.24522936009163,6.02158321987199,9.30787965434302,7.87220625590878,5.93961150012972,5.28306527949525,6.9644815580454,5.40170004647805,8.4416696216711,7.45823025597938,5.36815439577652,8.1804972539945
