"","commongenes"
"300","AMMECR1"
"301","AMMECR1L"
"302","AMN"
"303","AMN1"
"304","AMPH"
"305","AMT"
"306","AMZ2"
"307","ANAPC1"
"308","ANAPC10"
"309","ANAPC13"
"310","ANAPC15"
"311","ANAPC16"
"312","ANAPC1P2"
"313","ANAPC4"
"314","ANAPC5"
"315","ANAPC7"
"316","ANG"
"317","ANGEL1"
"318","ANGEL2"
"319","ANGPT2"
"320","ANGPTL2"
"321","ANGPTL4"
"322","ANK3"
"323","ANKDD1A"
"324","ANKFY1"
"325","ANKH"
"326","ANKHD1"
"327","ANKHD1-EIF4EBP3"
"328","ANKMY2"
"329","ANKRD10"
"330","ANKRD12"
"331","ANKRD13A"
"332","ANKRD13C"
"333","ANKRD16"
"334","ANKRD17"
"335","ANKRD29"
"336","ANKRD36"
"337","ANKRD36B"
"338","ANKRD37"
"339","ANKRD39"
"340","ANKRD40"
"341","ANKRD46"
"342","ANKRD49"
"343","ANKRD50"
"344","ANKRD54"
"345","ANKRD6"
"346","ANKRD9"
"347","ANKS1A"
"348","ANKS3"
"349","ANKS6"
"350","ANKZF1"
"351","ANLN"
"352","ANO10"
"353","ANO6"
"354","ANO8"
"355","ANP32A"
"356","ANP32B"
"357","ANTKMT"
"358","ANTXR1"
"359","ANTXR2"
"360","ANXA1"
"361","ANXA10"
"362","ANXA11"
"363","ANXA2"
"364","ANXA2R"
"365","ANXA3"
"366","ANXA4"
"367","ANXA5"
"368","ANXA6"
"369","AOAH"
"370","AOC1"
"371","AOC3"
"372","AOPEP"
"373","AP1B1"
"374","AP1G1"
"375","AP1G2"
"376","AP1M1"
"377","AP1M2"
"378","AP1S1"
"379","AP1S2"
"380","AP2A1"
"381","AP2A2"
"382","AP2B1"
"383","AP2M1"
"384","AP2S1"
"385","AP3B1"
"386","AP3D1"
"387","AP3M1"
"388","AP3M2"
"389","AP3S1"
"390","AP3S2"
"391","AP4B1"
"392","AP4M1"
"393","AP4S1"
"394","APAF1"
"395","APBA3"
"396","APBB1IP"
"397","APBB2"
"398","APBB3"
"399","APCDD1"
"400","APCDD1L"
"401","APEH"
"402","APEX1"
"403","APEX2"
"404","APH1A"
"405","APH1B"
"406","API5"
"407","APIP"
"408","APLNR"
"409","APLP1"
"410","APMAP"
"411","APOBEC3A"
"412","APOBEC3C"
"413","APOBEC3F"
"414","APOBR"
"415","APOC1"
"416","APOC2"
"417","APOD"
"418","APOE"
"419","APOL3"
"420","APOL6"
"421","APOLD1"
"422","APOO"
"423","APOOL"
"424","APP"
"425","APPBP2"
"426","APPL1"
"427","APPL2"
"428","APRT"
"429","APTX"
"430","AQP1"
"431","AQP7"
"432","AQP9"
"433","AQR"
"434","ARAF"
"435","ARAP1"
"436","ARAP3"
"437","ARCN1"
"438","ARF3"
"439","ARF4"
"440","ARF5"
"441","ARFGAP1"
"442","ARFGAP2"
"443","ARFGAP3"
"444","ARFGEF2"
"445","ARFGEF3"
"446","ARFIP1"
"447","ARFRP1"
"448","ARGLU1"
"449","ARHGAP1"
"450","ARHGAP10"
"451","ARHGAP15"
"452","ARHGAP17"
"453","ARHGAP18"
"454","ARHGAP19"
"455","ARHGAP21"
"456","ARHGAP24"
"457","ARHGAP26"
"458","ARHGAP27"
"459","ARHGAP30"
"460","ARHGAP32"
"461","ARHGAP33"
"462","ARHGAP39"
"463","ARHGAP4"
"464","ARHGAP44"
"465","ARHGAP45"
"466","ARHGAP9"
"467","ARHGDIA"
"468","ARHGDIB"
"469","ARHGEF1"
"470","ARHGEF10"
"471","ARHGEF10L"
"472","ARHGEF15"
"473","ARHGEF16"
"474","ARHGEF17"
"475","ARHGEF18"
"476","ARHGEF19"
"477","ARHGEF2"
"478","ARHGEF28"
"479","ARHGEF3"
"480","ARHGEF37"
"481","ARHGEF39"
"482","ARHGEF40"
"483","ARHGEF5"
"484","ARHGEF6"
"485","ARID1A"
"486","ARID1B"
"487","ARID3A"
"488","ARID4A"
"489","ARID4B"
"490","ARID5A"
"491","ARIH1"
"492","ARIH2"
"493","ARL1"
"494","ARL15"
"495","ARL16"
"496","ARL2"
"497","ARL2BP"
"498","ARL4A"
"499","ARL5A"
"500","ARL5B"
"501","ARL6IP1"
"502","ARL6IP4"
"503","ARL6IP5"
"504","ARL8B"
"505","ARMC1"
"506","ARMC10"
"507","ARMC5"
"508","ARMC6"
"509","ARMC7"
"510","ARMC9"
"511","ARMCX3"
"512","ARMCX5"
"513","ARMCX6"
"514","ARMH3"
"515","ARNT"
"516","ARNTL2"
"517","ARPC1A"
"518","ARPC2"
"519","ARPC3"
"520","ARPC4"
"521","ARPC5"
"522","ARPC5L"
"523","ARPIN"
"524","ARPP19"
"525","ARRB1"
"526","ARRB2"
"527","ARRDC1"
"528","ARRDC1-AS1"
"529","ARRDC2"
"530","ARRDC3"
"531","ARRDC4"
"532","ARSA"
"533","ARSD"
"534","ARSL"
"535","ARV1"
"536","ARVCF"
"537","AS3MT"
"538","ASAP2"
"539","ASAP3"
"540","ASB13"
"541","ASB2"
"542","ASB3"
"543","ASB7"
"544","ASB8"
"545","ASB9"
"546","ASCC1"
"547","ASCC2"
"548","ASCC3"
"549","ASF1B"
"550","ASGR1"
"551","ASGR2"
"552","ASH1L"
"553","ASH2L"
"554","ASL"
"555","ASMTL"
"556","ASNS"
"557","ASNSD1"
"558","ASPH"
"559","ASPHD1"
"560","ASPHD2"
"561","ASPM"
"562","ASPN"
"563","ASPSCR1"
"564","ASTE1"
"565","ASXL1"
"566","ASXL2"
"567","ATAD1"
"568","ATAD2"
"569","ATAD3A"
"570","ATAD3B"
"571","ATAT1"
"572","ATF1"
"573","ATF2"
"574","ATF4"
"575","ATF5"
"576","ATF6"
"577","ATF7IP"
"578","ATF7IP2"
"579","ATG101"
"580","ATG12"
"581","ATG13"
"582","ATG16L2"
"583","ATG2A"
"584","ATG2B"
"585","ATG3"
"586","ATG4C"
"587","ATG4D"
"588","ATG5"
"589","ATG7"
"590","ATG9A"
"591","ATIC"
"592","ATL1"
"593","ATL2"
"594","ATL3"
"595","ATMIN"
"596","ATOX1"
"597","ATP10D"
"598","ATP11B"
"599","ATP11C"
"600","ATP13A1"
"601","ATP13A2"
"602","ATP1A1"
"603","ATP1B1"
"604","ATP1B2"
"605","ATP1B3"
"606","ATP2A2"
"607","ATP2A3"
"608","ATP2B1"
"609","ATP2B4"
"610","ATP5F1A"
"611","ATP5F1B"
"612","ATP5F1C"
"613","ATP5F1D"
"614","ATP5IF1"
"615","ATP5MC1"
"616","ATP5MC2"
"617","ATP5MD"
"618","ATP5ME"
"619","ATP5MF"
"620","ATP5MPL"
"621","ATP5PB"
"622","ATP5PD"
"623","ATP5PF"
"624","ATP5PO"
"625","ATP6AP1"
"626","ATP6AP2"
"627","ATP6V0A1"
"628","ATP6V0B"
"629","ATP6V0C"
"630","ATP6V0D1"
"631","ATP6V0E1"
"632","ATP6V0E2"
"633","ATP6V1A"
"634","ATP6V1B2"
"635","ATP6V1C1"
"636","ATP6V1D"
"637","ATP6V1E1"
"638","ATP6V1F"
"639","ATP6V1G1"
"640","ATP6V1H"
"641","ATP7A"
"642","ATP7B"
"643","ATP8B1"
"644","ATP8B2"
"645","ATP9A"
"646","ATP9B"
"647","ATPAF1"
"648","ATPAF2"
"649","ATPSCKMT"
"650","ATRAID"
"651","ATRIP"
"652","ATRN"
"653","ATRX"
"654","ATXN1"
"655","ATXN2"
"656","ATXN3"
"657","AUH"
"658","AUNIP"
"659","AUP1"
"660","AURKA"
"661","AURKAIP1"
"662","AURKB"
"663","AUTS2"
"664","AVEN"
"665","AVL9"
"666","AVPI1"
"667","AXIN2"
"668","AXL"
"669","AZI2"
"670","AZIN1"
"671","AZIN2"
"672","B2M"
"673","B3GALT4"
"674","B3GALT6"
"675","B3GAT1"
"676","B3GAT3"
"677","B3GLCT"
"678","B3GNT2"
"679","B3GNT3"
"680","B3GNT5"
"681","B3GNT8"
"682","B3GNT9"
"683","B4GALT1"
"684","B4GALT3"
"685","B4GALT4"
"686","B4GALT5"
"687","B4GALT7"
"688","B4GAT1"
"689","B9D2"
"690","BABAM1"
"691","BABAM2"
"692","BACE1"
"693","BACE2"
"694","BACH2"
"695","BAG1"
"696","BAG3"
"697","BAG4"
"698","BAG5"
"699","BAG6"
"700","BAIAP2"
"701","BAIAP2L1"
"702","BAIAP2L2"
"703","BAK1"
"704","BANF1"
"705","BANK1"
"706","BANP"
"707","BAP1"
"708","BARD1"
"709","BASP1"
"710","BATF"
"711","BATF2"
"712","BATF3"
"713","BAX"
"714","BAZ1A"
"715","BAZ1B"
"716","BAZ2A"
"717","BAZ2B"
"718","BBC3"
"719","BBOF1"
"720","BBS1"
"721","BBS10"
"722","BBS12"
"723","BBS4"
"724","BBS7"
"725","BBX"
"726","BCAP29"
"727","BCAP31"
"728","BCAR1"
"729","BCAR3"
"730","BCAS1"
"731","BCAS2"
"732","BCAS4"
"733","BCAT1"
"734","BCAT2"
"735","BCCIP"
"736","BCDIN3D"
"737","BCKDHA"
"738","BCKDK"
"739","BCL10"
"740","BCL11A"
"741","BCL11B"
"742","BCL2A1"
"743","BCL2L1"
"744","BCL2L11"
"745","BCL2L12"
"746","BCL2L13"
"747","BCL2L15"
"748","BCL2L2"
"749","BCL3"
"750","BCL6"
"751","BCL6B"
"752","BCL7B"
"753","BCL7C"
"754","BCL9"
"755","BCL9L"
"756","BCLAF1"
"757","BCOR"
"758","BCORL1"
"759","BCR"
"760","BCS1L"
"761","BDP1"
"762","BECN1"
"763","BET1"
"764","BET1L"
"765","BEX3"
"766","BEX4"
"767","BEX5"
"768","BFAR"
"769","BGLAP"
"770","BGN"
"771","BHLHB9"
"772","BHLHE40"
"773","BICD1"
"774","BICRA"
"775","BICRAL"
"776","BID"
"777","BIK"
"778","BIN1"
"779","BIN2"
"780","BIRC2"
"781","BIRC3"
"782","BIRC5"
"783","BIRC6"
"784","BIVM"
"785","BLCAP"
"786","BLM"
"787","BLMH"
"788","BLOC1S1"
"789","BLOC1S2"
"790","BLOC1S4"
"791","BLOC1S6"
"792","BLVRA"
"793","BLVRB"
"794","BMERB1"
"795","BMF"
"796","BMI1"
"797","BMP1"
"798","BMP2"
"799","BMP2K"
"800","BMPR1A"
"801","BMPR2"
"802","BMS1"
"803","BNC2"
"804","BNIP1"
"805","BNIP2"
"806","BNIP3"
"807","BNIP3L"
"808","BOC"
"809","BOD1"
"810","BOK"
"811","BOLA1"
"812","BOLA3"
"813","BOP1"
"814","BORCS5"
"815","BORCS7"
"816","BPHL"
"817","BPNT1"
"818","BPNT2"
"819","BPTF"
"820","BRAF"
"821","BRCC3"
"822","BRD1"
"823","BRD2"
"824","BRD3"
"825","BRD4"
"826","BRD7"
"827","BRD8"
"828","BRD9"
"829","BRF2"
"830","BRI3"
"831","BRI3BP"
"832","BRICD5"
"833","BRIX1"
"834","BRK1"
"835","BRMS1"
"836","BROX"
"837","BRPF1"
"838","BRPF3"
"839","BRWD1"
"840","BRWD3"
"841","BSCL2"
"842","BSDC1"
"843","BST2"
"844","BTAF1"
"845","BTBD1"
"846","BTBD10"
"847","BTBD3"
"848","BTBD6"
"849","BTBD7"
"850","BTD"
"851","BTF3"
"852","BTF3L4"
"853","BTG1"
"854","BTG2"
"855","BTG3"
"856","BTK"
"857","BTN3A1"
"858","BTN3A2"
"859","BTN3A3"
"860","BTNL3"
"861","BTNL9"
"862","BUB3"
"863","BUD13"
"864","BUD23"
"865","BUD31"
"866","BYSL"
"867","BZW2"
"868","C10orf88"
"869","C11orf24"
"870","C11orf49"
"871","C11orf54"
"872","C11orf68"
"873","C11orf80"
"874","C12orf29"
"875","C12orf45"
"876","C12orf57"
"877","C12orf65"
"878","C12orf66"
"879","C14orf119"
"880","C14orf28"
"881","C14orf93"
"882","C16orf46"
"883","C16orf70"
"884","C16orf72"
"885","C16orf86"
"886","C16orf89"
"887","C16orf91"
"888","C17orf49"
"889","C17orf58"
"890","C17orf75"
"891","C17orf80"
"892","C17orf97"
"893","C18orf21"
"894","C19orf12"
"895","C19orf25"
"896","C19orf33"
"897","C19orf47"
"898","C19orf53"
"899","C19orf54"
"900","C1D"
"901","C1GALT1"
"902","C1GALT1C1"
"903","C1orf109"
"904","C1orf112"
"905","C1orf115"
"906","C1orf116"
"907","C1orf122"
"908","C1orf131"
"909","C1orf159"
"910","C1orf162"
"911","C1orf198"
"912","C1orf21"
"913","C1orf210"
"914","C1orf216"
"915","C1orf35"
"916","C1orf43"
"917","C1orf50"
"918","C1orf52"
"919","C1orf54"
"920","C1QA"
"921","C1QB"
"922","C1QBP"
"923","C1QC"
"924","C1QTNF1"
"925","C1QTNF12"
"926","C1QTNF3"
"927","C1RL"
"928","C1S"
"929","C2"
"930","C20orf27"
"931","C21orf91"
"932","C22orf15"
"933","C22orf34"
"934","C22orf39"
"935","C2CD2"
"936","C2CD2L"
"937","C2CD3"
"938","C2CD4B"
"939","C2CD5"
"940","C2orf42"
"941","C2orf49"
"942","C2orf69"
"943","C2orf76"
"944","C3"
"945","C3AR1"
"946","C3orf18"
"947","C3orf38"
"948","C3orf70"
"949","C4BPB"
"950","C4orf19"
"951","C4orf3"
"952","C5"
"953","C5AR1"
"954","C5orf15"
"955","C5orf24"
"956","C5orf51"
"957","C6orf136"
"958","C6orf226"
"959","C6orf47"
"960","C6orf62"
"961","C6orf89"
"962","C7"
"963","C7orf25"
"964","C7orf26"
"965","C7orf50"
"966","C8orf33"
"967","C8orf58"
"968","C8orf76"
"969","C8orf82"
"970","C9orf152"
"971","C9orf16"
"972","C9orf163"
"973","C9orf50"
"974","C9orf64"
"975","C9orf72"
"976","C9orf78"
"977","C9orf85"
"978","CA11"
"979","CA12"
"980","CA2"
"981","CA5B"
"982","CAAP1"
"983","CAB39"
"984","CABIN1"
"985","CABLES1"
"986","CABLES2"
"987","CABP4"
"988","CACFD1"
"989","CACNA1H"
"990","CACNA1I"
"991","CACNA2D2"
"992","CACNA2D4"
"993","CACNB3"
"994","CACUL1"
"995","CACYBP"
"996","CADM1"
"997","CADPS2"
"998","CALCOCO1"
"999","CALCOCO2"
"1000","CALCRL"
"1001","CALD1"
"1002","CALHM2"
"1003","CALM1"
"1004","CALM2"
"1005","CALM3"
"1006","CALML4"
"1007","CALR"
"1008","CALU"
"1009","CAMK1"
"1010","CAMK2D"
"1011","CAMK2G"
"1012","CAMK2N1"
"1013","CAMKK1"
"1014","CAMKK2"
"1015","CAMP"
"1016","CAMSAP2"
"1017","CAMSAP3"
"1018","CAMTA2"
"1019","CAND1"
"1020","CANT1"
"1021","CANX"
"1022","CAP1"
"1023","CAPG"
"1024","CAPN1"
"1025","CAPN12"
"1026","CAPN15"
"1027","CAPN2"
"1028","CAPN5"
"1029","CAPN7"
"1030","CAPNS1"
"1031","CAPRIN1"
"1032","CAPRIN2"
"1033","CAPS"
"1034","CAPZA2"
"1035","CAPZB"
"1036","CARD10"
"1037","CARD11"
"1038","CARD19"
"1039","CARD6"
"1040","CARD9"
"1041","CARHSP1"
"1042","CARM1"
"1043","CARMIL1"
"1044","CARMIL2"
"1045","CARMIL3"
"1046","CARNMT1"
"1047","CARS1"
"1048","CASC3"
"1049","CASK"
"1050","CASP10"
"1051","CASP2"
"1052","CASP3"
"1053","CASP4"
"1054","CASP6"
"1055","CASP8"
"1056","CASP9"
"1057","CAST"
"1058","CASTOR3"
"1059","CASZ1"
"1060","CAT"
"1061","CAV1"
"1062","CAV2"
"1063","CAVIN1"
"1064","CAVIN2"
"1065","CAVIN3"
"1066","CBFA2T2"
"1067","CBFA2T3"
"1068","CBFB"
"1069","CBL"
"1070","CBLB"
"1071","CBLL1"
"1072","CBR1"
"1073","CBR3"
"1074","CBR4"
"1075","CBS"
"1076","CBX1"
"1077","CBX3"
"1078","CBX4"
"1079","CBX5"
"1080","CBX6"
"1081","CBX7"
"1082","CBY1"
"1083","CC2D1A"
"1084","CC2D1B"
"1085","CCDC102A"
"1086","CCDC102B"
"1087","CCDC103"
"1088","CCDC106"
"1089","CCDC107"
"1090","CCDC115"
"1091","CCDC12"
"1092","CCDC125"
"1093","CCDC126"
"1094","CCDC127"
"1095","CCDC130"
"1096","CCDC134"
"1097","CCDC142"
"1098","CCDC149"
"1099","CCDC167"
"1100","CCDC174"
"1101","CCDC191"
"1102","CCDC22"
"1103","CCDC25"
"1104","CCDC28A"
"1105","CCDC3"
"1106","CCDC32"
"1107","CCDC34"
"1108","CCDC47"
"1109","CCDC50"
"1110","CCDC58"
"1111","CCDC59"
"1112","CCDC6"
"1113","CCDC68"
"1114","CCDC69"
"1115","CCDC71"
"1116","CCDC74A"
"1117","CCDC77"
"1118","CCDC8"
"1119","CCDC80"
"1120","CCDC82"
"1121","CCDC85B"
"1122","CCDC88B"
"1123","CCDC9"
"1124","CCDC90B"
"1125","CCDC92"
"1126","CCDC93"
"1127","CCDC97"
"1128","CCDC9B"
"1129","CCHCR1"
"1130","CCL2"
"1131","CCL22"
"1132","CCL28"
"1133","CCL3"
"1134","CCL3L1"
"1135","CCL3L3"
"1136","CCL5"
"1137","CCM2"
"1138","CCM2L"
"1139","CCN1"
"1140","CCN2"
"1141","CCN4"
"1142","CCN5"
"1143","CCNA2"
"1144","CCNB1"
"1145","CCNB2"
"1146","CCNC"
"1147","CCND1"
"1148","CCND2"
"1149","CCND3"
"1150","CCNDBP1"
"1151","CCNF"
"1152","CCNG1"
"1153","CCNH"
"1154","CCNI"
"1155","CCNK"
"1156","CCNL1"
"1157","CCNL2"
"1158","CCNP"
"1159","CCNQ"
"1160","CCNT1"
"1161","CCNT2"
"1162","CCNY"
"1163","CCNYL1"
"1164","CCP110"
"1165","CCPG1"
"1166","CCR1"
"1167","CCR10"
"1168","CCR4"
"1169","CCR6"
"1170","CCR7"
"1171","CCS"
"1172","CCSER2"
"1173","CCT2"
"1174","CCT3"
"1175","CCT4"
"1176","CCT5"
"1177","CCT6A"
"1178","CCT6B"
"1179","CCT7"
"1180","CCT8"
"1181","CCZ1"
"1182","CCZ1B"
"1183","CD109"
"1184","CD14"
"1185","CD151"
"1186","CD163L1"
"1187","CD164"
"1188","CD19"
"1189","CD1C"
"1190","CD1D"
"1191","CD2"
"1192","CD200"
"1193","CD209"
"1194","CD247"
"1195","CD248"
"1196","CD27"
"1197","CD276"
"1198","CD2AP"
"1199","CD2BP2"
"1200","CD300A"
"1201","CD300C"
"1202","CD300LF"
"1203","CD302"
"1204","CD320"
"1205","CD33"
"1206","CD38"
"1207","CD3D"
"1208","CD3E"
"1209","CD3G"
"1210","CD40"
"1211","CD44"
"1212","CD46"
"1213","CD47"
"1214","CD48"
"1215","CD5"
"1216","CD52"
"1217","CD53"
"1218","CD55"
"1219","CD58"
"1220","CD59"
"1221","CD63"
"1222","CD68"
"1223","CD70"
"1224","CD72"
"1225","CD74"
"1226","CD79A"
"1227","CD81"
"1228","CD82"
"1229","CD83"
"1230","CD8A"
"1231","CD9"
"1232","CD93"
"1233","CD99"
"1234","CD99L2"
"1235","CDA"
"1236","CDADC1"
"1237","CDAN1"
"1238","CDC123"
"1239","CDC14B"
"1240","CDC16"
"1241","CDC20"
"1242","CDC23"
"1243","CDC25B"
"1244","CDC26"
"1245","CDC34"
"1246","CDC37"
"1247","CDC37L1"
"1248","CDC40"
"1249","CDC42"
"1250","CDC42BPA"
"1251","CDC42BPB"
"1252","CDC42EP1"
"1253","CDC42EP2"
"1254","CDC42EP3"
"1255","CDC42EP4"
"1256","CDC42SE1"
"1257","CDC42SE2"
"1258","CDC45"
"1259","CDC5L"
"1260","CDCA2"
"1261","CDCA3"
"1262","CDCA4"
"1263","CDCA5"
"1264","CDCA7"
"1265","CDCA7L"
"1266","CDCA8"
"1267","CDH1"
"1268","CDH11"
"1269","CDH24"
"1270","CDH3"
"1271","CDH5"
"1272","CDHR2"
"1273","CDIP1"
"1274","CDIPT"
"1275","CDK1"
"1276","CDK10"
"1277","CDK11B"
"1278","CDK12"
"1279","CDK13"
"1280","CDK14"
"1281","CDK17"
"1282","CDK19"
"1283","CDK2"
"1284","CDK20"
"1285","CDK2AP2"
"1286","CDK3"
"1287","CDK4"
"1288","CDK5"
"1289","CDK5RAP1"
"1290","CDK5RAP2"
"1291","CDK5RAP3"
"1292","CDK6"
"1293","CDK7"
"1294","CDK8"
"1295","CDK9"
"1296","CDKN1A"
"1297","CDKN1B"
"1298","CDKN1C"
"1299","CDKN2A"
"1300","CDKN2AIP"
"1301","CDKN2B"
"1302","CDKN3"
"1303","CDR2"
"1304","CDR2L"
"1305","CDRT4"
"1306","CDS1"
"1307","CDS2"
"1308","CDT1"
"1309","CDV3"
"1310","CDX2"
"1311","CDYL"
"1312","CDYL2"
"1313","CEACAM1"
"1314","CEACAM6"
"1315","CEBPA"
"1316","CEBPB"
"1317","CEBPD"
"1318","CEBPG"
"1319","CEBPZ"
"1320","CELF1"
"1321","CELF2"
"1322","CELSR2"
"1323","CELSR3"
"1324","CEMIP2"
"1325","CENATAC"
"1326","CENPA"
"1327","CENPB"
"1328","CENPBD1P1"
"1329","CENPF"
"1330","CENPH"
"1331","CENPJ"
"1332","CENPK"
"1333","CENPM"
"1334","CENPN"
"1335","CENPO"
"1336","CENPS"
"1337","CENPU"
"1338","CENPV"
"1339","CENPW"
"1340","CENPX"
"1341","CEP104"
"1342","CEP120"
"1343","CEP162"
"1344","CEP164"
"1345","CEP170B"
"1346","CEP192"
"1347","CEP20"
"1348","CEP250"
"1349","CEP290"
"1350","CEP43"
"1351","CEP44"
"1352","CEP55"
"1353","CEP63"
"1354","CEP68"
"1355","CEP70"
"1356","CEP83"
"1357","CEP85"
"1358","CEP85L"
"1359","CEP89"
"1360","CERCAM"
"1361","CERK"
"1362","CERS2"
"1363","CERS5"
"1364","CERS6"
"1365","CERT1"
"1366","CES2"
